Year,المؤشر,Indicator,Value
2018,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),656.9
2017,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,49.52296389768617
2018,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,105.49647058818617
2017,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),76.2777806211117
2016,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),758.1218631983177
2020,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),882.7183933875846
2015,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),98.19243200000001
2016,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),107.075496
2021,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),109.7
2022,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),114.4
2022,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),44.15
2017,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,123.0
2020,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,73.0
2022,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,73.0
2016,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,2.899
2017,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,6.366
2018,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,6175.0
2020,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,4.511
2015,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,288.0
2016,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,285.0
2020,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,337.0
2016,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),704.0
2019,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),727.2
2020,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),718.8
2016,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,31.228261369901837
2021,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,123.8
2022,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,131.8
2015,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),49.653762327753654
2018,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),165.90342184444154
2020,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),221.44764415088105
2021,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),190.3
2022,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),159.0
2015,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),743.0128981283987
2017,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),819.9630179105968
2019,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),842.7687632336953
2018,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),108.884024
2019,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),108.697852
2020,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),108.6
2016,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),16.2
2020,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),32.1
2015,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,92.0
2018,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,76.0
2019,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,87.0
2021,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,73.0
2015,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,2.643
2019,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,5.05
2021,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,4.273
2022,إجمالي عدد العاملين في القطاع الزراعي,Total number of workers in the agricultural sector,4378.0
2022,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,323.0
2015,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),645.5
2017,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),698.0
2021,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),0.0
2022,إجمالي انتاج الأسمدة الكيماوية  ( ألف طن),Production of chemical fertilizers (thousand tons),0.0
2015,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,29.423835424230475
2019,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,153.71670630384713
2020,قيمة التجارة البينية بين دول المجلس (الصادرات)مليون دولار امريكي,Value of intra-GCC trade (exports) is one million US dollars,153.27365330809738
2016,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),53.06484705358418
2019,قيمة  الصادرات من المنتجات الزراعية (مليون دولار امريكي ),Value of exports of agricultural products (million US dollars),223.6002220690114
2018,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),878.1342958382385
2021,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),849.0
2022,قيمة  الواردات من المنتجات الزراعية  (مليون دولار امريكي ),Value of imports of agricultural products (million US dollars),939.0
2017,مساهمة القطاع الزراعي وصيد الأسماك في الناتج المحلي الإجمالي (مليون دولار أمريكي),Contribution of the agricultural and fishing sector to the GDP (million US dollars),103.11269200000001
2015,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),17.02
2017,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),21.54
2018,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),6.12
2019,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),18.0
2021,قيمة القروض الممنوحة للقطاع الزراعي (مليون دولار امريكي),Value of loans granted to the agricultural sector (million US dollars),35.0
2016,عدد منشآت التصنيع الزراعي,Number of agricultural manufacturing facilities,105.0
2017,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,406.0
2018,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,378.0
2019,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,359.0
2021,إجمالي عدد العمالة الوطنية في القطاع الزراعي,Total number of national workers in the agricultural sector,321.0
